date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:39	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2030%20Jul%202021%2009:18:42%20GMT	http://classicrockuniversal.com/robots.txt		(from )
11:18:39	17498/17498	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Jul%202021%2009:18:43%20GMT	http://classicrockuniversal.com/	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/index.html	(from )
11:18:40	25658/25658	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202019%2019:34:14%20GMT	http://classicrockuniversal.com/wp-includes/css/dist/block-library/style.min.css?ver=5.0.13	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/wp-includes/css/dist/block-library/style.min23c3.css	(from http://classicrockuniversal.com/)
11:18:40	878/878	---M--	200	added ('OK')	text/xml	date:Fri,%2030%20Jul%202021%2009:18:44%20GMT	http://classicrockuniversal.com/xmlrpc.php?rsd	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/xmlrpc0db0.php	(from http://classicrockuniversal.com/)
11:18:40	1045/1045	---M--	200	added ('OK')	application/xml	date:Mon,%2025%20Mar%202019%2019:28:13%20GMT	http://classicrockuniversal.com/wp-includes/wlwmanifest.xml	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/wp-includes/wlwmanifest.xml	(from http://classicrockuniversal.com/)
11:18:41	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2030%20Jul%202021%2009:18:45%20GMT	http://classicrockuniversal.com/xmlrpc.php	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/xmlrpc.php	(from http://classicrockuniversal.com/)
11:18:42	21984/21984	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/Users/A.Luna/Music/Class/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://classicrockuniversal.com/)
11:18:43	114011/114011	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:57%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.0/css/bootstrap.min.css	C:/Users/A.Luna/Music/Class/maxcdn.bootstrapcdn.com/bootstrap/3.3.0/css/bootstrap.min.css	(from http://classicrockuniversal.com/)
11:18:44	1752/1752	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2004%20Dec%202020%2023:53:10%20GMT	http://classicrockuniversal.com/feed/	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/feed/index.html	(from http://classicrockuniversal.com/)
11:18:45	83045/83045	---MC-	200	added ('OK')	application/json	date:Fri,%2030%20Jul%202021%2009:18:44%20GMT	http://classicrockuniversal.com/wp-json/	C:/Users/A.Luna/Music/Class/classicrockuniversal.com/wp-json/index.html	(from http://classicrockuniversal.com/)
